"","sample.no","year","date","sanctuary","status","site.new","complexity","algal.cover","size.class","count"
"130",130,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",1,3,"legal",0
"131",131,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",3,2,"legal",2
"132",132,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",2,2,"legal",0
"133",133,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",1,3,"legal",0
"134",134,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",3,3,"legal",0
"135",135,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",3,3,"legal",0
"136",136,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",1,3,"legal",0
"137",137,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",3,3,"legal",1
"138",138,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",1,1,"legal",0
"139",139,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",2,1,"legal",2
"140",140,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",2,2,"legal",0
"141",141,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",1,2,"legal",3
"142",142,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",1,2,"legal",0
"143",143,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",1,1,"legal",0
"144",144,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",2,1,"legal",0
"145",145,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",0,3,"legal",0
"146",146,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",1,2,"legal",0
"147",147,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",4,1,"legal",3
"148",148,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",1,1,"legal",0
"149",149,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",2,2,"legal",0
"150",150,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",4,2,"legal",2
"151",151,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",2,1,"legal",0
"152",152,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",0,4,"legal",0
"153",153,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",3,4,"legal",0
"154",154,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",1,1,"legal",0
"155",155,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",2,1,"legal",0
"156",156,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",2,1,"legal",0
"157",157,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",1,1,"legal",0
"158",158,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",4,2,"legal",2
"159",159,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",2,1,"legal",0
"160",160,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",3,1,"legal",0
"161",161,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",1,1,"legal",1
"162",162,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",2,1,"legal",0
"163",163,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",2,1,"legal",0
"164",164,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",1,1,"legal",0
"165",165,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",4,2,"legal",2
"166",166,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",2,1,"legal",0
"167",167,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",3,1,"legal",0
"168",168,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",1,1,"legal",1
"169",169,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",1,3,"legal",0
"170",170,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",4,2,"legal",0
"171",171,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",3,1,"legal",1
"172",172,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",2,1,"legal",0
"173",173,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",1,1,"legal",0
"174",174,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",1,1,"legal",0
"175",175,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",1,1,"legal",0
"176",176,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",4,1,"legal",1
"177",177,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",2,1,"legal",3
"178",178,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",3,1,"legal",2
"179",179,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",3,1,"legal",0
"180",180,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",1,1,"legal",0
"181",181,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",1,1,"legal",0
"182",182,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",1,3,"legal",0
"183",183,2014,2014-01-23,"Parker Point","No-take","Parker Point.No-take",4,2,"legal",14
"184",184,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",2,2,"legal",0
"185",185,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",2,1,"legal",0
"186",186,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",3,2,"legal",0
"187",187,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",2,1,"legal",0
"188",188,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",2,2,"legal",0
"189",189,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",2,3,"legal",0
"190",190,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",4,3,"legal",0
"191",191,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",4,3,"legal",0
"192",192,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",2,3,"legal",0
"193",193,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",3,2,"legal",0
"194",194,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",2,2,"legal",0
