year,date,sanctuary,status,site,replicate,sampling.location,complexity,algal.cover,unsized,legal.unsized,sublegal.unsized,x25,x30,x35,x40,x45,x50,x55,x60,x65,x70,x75,x80,x85,x90,x95,x100,x105,x110,x115,x120,x125,x130,x135,x140,x145,x150
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,107,none,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,108,none,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,109,none,4,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,110,none,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,111,none,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,112,none,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,113,none,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,114,none,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,115,none,3,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,116,none,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,117,none,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,118,none,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-24T16:00:00Z,Parker Point,No-take,Parker Point,119,none,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2014,2014-01-24T16:00:00Z,Parker Point,No-take,Parker Point,120,none,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-24T16:00:00Z,Parker Point,No-take,Parker Point,121,none,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,2014-01-24T16:00:00Z,Parker Point,No-take,Parker Point,122,none,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
