"transect.id","M","F","J","school.count","","sanctuary","status","group.id"
"Fished.Armstrong.Parakeet_Bay.HA.3",0,8,0,2,NA,"Armstrong","Fished","Fished.Armstrong.Parakeet_Bay.HA"
"Fished.Armstrong.Parakeet_Bay.HA.4",0,1,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Parakeet_Bay.HA"
"Fished.Armstrong.Parakeet_Bay.HA.5",0,0,0,0,NA,"Armstrong","Fished","Fished.Armstrong.Parakeet_Bay.HA"
"Fished.Armstrong.Parakeet_Bay.JH.1",0,1,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Parakeet_Bay.JH"
"Fished.Armstrong.Parakeet_Bay.JH.2",0,1,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Parakeet_Bay.JH"
"Fished.Armstrong.Parakeet_Bay.JH.3",0,3,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Parakeet_Bay.JH"
"Fished.Armstrong.Parakeet_Bay.JH.4",0,1,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Parakeet_Bay.JH"
"Fished.Armstrong.Parakeet_Bay.JH.5",0,7,0,4,NA,"Armstrong","Fished","Fished.Armstrong.Parakeet_Bay.JH"
"Fished.Armstrong.Ricey_Beach.AT.1",0,5,1,3,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.AT"
"Fished.Armstrong.Ricey_Beach.AT.2",0,2,0,2,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.AT"
"Fished.Armstrong.Ricey_Beach.AT.3",1,8,0,6,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.AT"
"Fished.Armstrong.Ricey_Beach.AT.4",0,0,0,0,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.AT"
"Fished.Armstrong.Ricey_Beach.AT.5",0,5,0,2,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.AT"
"Fished.Armstrong.Ricey_Beach.EPJ.1",1,17,0,3,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.EPJ"
"Fished.Armstrong.Ricey_Beach.EPJ.2",0,18,0,4,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.EPJ"
"Fished.Armstrong.Ricey_Beach.EPJ.3",0,2,0,2,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.EPJ"
"Fished.Armstrong.Ricey_Beach.EPJ.4",0,32,1,3,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.EPJ"
"Fished.Armstrong.Ricey_Beach.EPJ.5",0,14,0,2,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.EPJ"
"Fished.Armstrong.Ricey_Beach.ST.1",0,5,0,5,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.ST"
"Fished.Armstrong.Ricey_Beach.ST.2",0,29,0,3,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.ST"
"Fished.Armstrong.Ricey_Beach.ST.3",2,7,6,3,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.ST"
