sanctuary,status,group.id,transect.id,metric,count,sample.no
Green_Island,Fished,Fished.Green_Island.Strickland_West.BS,Fished.Green_Island.Strickland_West.BS.2,F,0,121
Green_Island,Fished,Fished.Green_Island.Strickland_West.BS,Fished.Green_Island.Strickland_West.BS.3,F,0,122
Green_Island,Fished,Fished.Green_Island.Strickland_West.BS,Fished.Green_Island.Strickland_West.BS.4,F,4,123
Green_Island,Fished,Fished.Green_Island.Strickland_West.BS,Fished.Green_Island.Strickland_West.BS.5,F,8,124
Green_Island,Fished,Fished.Green_Island.Strickland_West.LC,Fished.Green_Island.Strickland_West.LC.1,F,0,125
Green_Island,Fished,Fished.Green_Island.Strickland_West.LC,Fished.Green_Island.Strickland_West.LC.2,F,0,126
Green_Island,Fished,Fished.Green_Island.Strickland_West.LC,Fished.Green_Island.Strickland_West.LC.3,F,130,127
Green_Island,Fished,Fished.Green_Island.Strickland_West.LC,Fished.Green_Island.Strickland_West.LC.4,F,2,128
Green_Island,Fished,Fished.Green_Island.Strickland_West.LC,Fished.Green_Island.Strickland_West.LC.5,F,5,129
Green_Island,Fished,Fished.Green_Island.Strickland_West.SR,Fished.Green_Island.Strickland_West.SR.1,F,6,130
Green_Island,Fished,Fished.Green_Island.Strickland_West.SR,Fished.Green_Island.Strickland_West.SR.2,F,1,131
Green_Island,Fished,Fished.Green_Island.Strickland_West.SR,Fished.Green_Island.Strickland_West.SR.3,F,0,132
Green_Island,Fished,Fished.Green_Island.Strickland_West.SR,Fished.Green_Island.Strickland_West.SR.4,F,6,133
Green_Island,Fished,Fished.Green_Island.Strickland_West.SR,Fished.Green_Island.Strickland_West.SR.5,F,0,134
Green_Island,No-take,No-take.Green_Island.Green_Island.AT,No-take.Green_Island.Green_Island.AT.1,F,6,135
Green_Island,No-take,No-take.Green_Island.Green_Island.AT,No-take.Green_Island.Green_Island.AT.2,F,2,136
Green_Island,No-take,No-take.Green_Island.Green_Island.AT,No-take.Green_Island.Green_Island.AT.3,F,14,137
Green_Island,No-take,No-take.Green_Island.Green_Island.AT,No-take.Green_Island.Green_Island.AT.4,F,1,138
Green_Island,No-take,No-take.Green_Island.Green_Island.AT,No-take.Green_Island.Green_Island.AT.5,F,5,139
Green_Island,No-take,No-take.Green_Island.Green_Island.EPJ,No-take.Green_Island.Green_Island.EPJ.1,F,8,140
Green_Island,No-take,No-take.Green_Island.Green_Island.EPJ,No-take.Green_Island.Green_Island.EPJ.2,F,5,141
Green_Island,No-take,No-take.Green_Island.Green_Island.EPJ,No-take.Green_Island.Green_Island.EPJ.3,F,4,142
Green_Island,No-take,No-take.Green_Island.Green_Island.EPJ,No-take.Green_Island.Green_Island.EPJ.4,F,10,143
Green_Island,No-take,No-take.Green_Island.Green_Island.EPJ,No-take.Green_Island.Green_Island.EPJ.5,F,4,144
Green_Island,No-take,No-take.Green_Island.Green_Island.ST,No-take.Green_Island.Green_Island.ST.1,F,3,145
Green_Island,No-take,No-take.Green_Island.Green_Island.ST,No-take.Green_Island.Green_Island.ST.2,F,0,146
Green_Island,No-take,No-take.Green_Island.Green_Island.ST,No-take.Green_Island.Green_Island.ST.3,F,1,147
Green_Island,No-take,No-take.Green_Island.Green_Island.ST,No-take.Green_Island.Green_Island.ST.4,F,15,148
Green_Island,No-take,No-take.Green_Island.Green_Island.ST,No-take.Green_Island.Green_Island.ST.5,F,4,149
Green_Island,No-take,No-take.Green_Island.Mary_Cove.BS,No-take.Green_Island.Mary_Cove.BS.1,F,4,150
Green_Island,No-take,No-take.Green_Island.Mary_Cove.BS,No-take.Green_Island.Mary_Cove.BS.2,F,6,151
Green_Island,No-take,No-take.Green_Island.Mary_Cove.BS,No-take.Green_Island.Mary_Cove.BS.3,F,1,152
Green_Island,No-take,No-take.Green_Island.Mary_Cove.BS,No-take.Green_Island.Mary_Cove.BS.4,F,9,153
Green_Island,No-take,No-take.Green_Island.Mary_Cove.BS,No-take.Green_Island.Mary_Cove.BS.5,F,11,154
Green_Island,No-take,No-take.Green_Island.Mary_Cove.LC,No-take.Green_Island.Mary_Cove.LC.1,F,2,155
Green_Island,No-take,No-take.Green_Island.Mary_Cove.LC,No-take.Green_Island.Mary_Cove.LC.2,F,4,156
Green_Island,No-take,No-take.Green_Island.Mary_Cove.LC,No-take.Green_Island.Mary_Cove.LC.3,F,4,157
Green_Island,No-take,No-take.Green_Island.Mary_Cove.LC,No-take.Green_Island.Mary_Cove.LC.4,F,9,158
Green_Island,No-take,No-take.Green_Island.Mary_Cove.LC,No-take.Green_Island.Mary_Cove.LC.5,F,17,159
Green_Island,No-take,No-take.Green_Island.Mary_Cove.SRJ,No-take.Green_Island.Mary_Cove.SRJ.1,F,4,160
Green_Island,No-take,No-take.Green_Island.Mary_Cove.SRJ,No-take.Green_Island.Mary_Cove.SRJ.2,F,1,161
Green_Island,No-take,No-take.Green_Island.Mary_Cove.SRJ,No-take.Green_Island.Mary_Cove.SRJ.3,F,0,162
Green_Island,No-take,No-take.Green_Island.Mary_Cove.SRJ,No-take.Green_Island.Mary_Cove.SRJ.4,F,8,163
Green_Island,No-take,No-take.Green_Island.Mary_Cove.SRJ,No-take.Green_Island.Mary_Cove.SRJ.5,F,14,164
Parker_Pt,Fished,Fished.Parker_Pt.East_Salmon_Bay.LB,Fished.Parker_Pt.East_Salmon_Bay.LB.1,F,1,165
Parker_Pt,Fished,Fished.Parker_Pt.East_Salmon_Bay.LB,Fished.Parker_Pt.East_Salmon_Bay.LB.2,F,1,166
Parker_Pt,Fished,Fished.Parker_Pt.East_Salmon_Bay.LB,Fished.Parker_Pt.East_Salmon_Bay.LB.3,F,0,167
Parker_Pt,Fished,Fished.Parker_Pt.East_Salmon_Bay.LB,Fished.Parker_Pt.East_Salmon_Bay.LB.4,F,0,168
Parker_Pt,Fished,Fished.Parker_Pt.East_Salmon_Bay.LB,Fished.Parker_Pt.East_Salmon_Bay.LB.5,F,0,169
Parker_Pt,Fished,Fished.Parker_Pt.East_Salmon_Bay.SC,Fished.Parker_Pt.East_Salmon_Bay.SC.1,F,0,170
Parker_Pt,Fished,Fished.Parker_Pt.East_Salmon_Bay.SC,Fished.Parker_Pt.East_Salmon_Bay.SC.2,F,16,171
Parker_Pt,Fished,Fished.Parker_Pt.East_Salmon_Bay.SC,Fished.Parker_Pt.East_Salmon_Bay.SC.3,F,0,172
Parker_Pt,Fished,Fished.Parker_Pt.East_Salmon_Bay.SC,Fished.Parker_Pt.East_Salmon_Bay.SC.4,F,1,173
Parker_Pt,Fished,Fished.Parker_Pt.East_Salmon_Bay.SC,Fished.Parker_Pt.East_Salmon_Bay.SC.5,F,0,174
Parker_Pt,Fished,Fished.Parker_Pt.East_Salmon_Bay.SRJ,Fished.Parker_Pt.East_Salmon_Bay.SRJ.1,F,20,175
Parker_Pt,Fished,Fished.Parker_Pt.East_Salmon_Bay.SRJ,Fished.Parker_Pt.East_Salmon_Bay.SRJ.2,F,0,176
Parker_Pt,Fished,Fished.Parker_Pt.East_Salmon_Bay.SRJ,Fished.Parker_Pt.East_Salmon_Bay.SRJ.3,F,1,177
Parker_Pt,Fished,Fished.Parker_Pt.East_Salmon_Bay.SRJ,Fished.Parker_Pt.East_Salmon_Bay.SRJ.4,F,1,178
Parker_Pt,Fished,Fished.Parker_Pt.East_Salmon_Bay.SRJ,Fished.Parker_Pt.East_Salmon_Bay.SRJ.5,F,0,179
Parker_Pt,Fished,Fished.Parker_Pt.Parker_Point.BS,Fished.Parker_Pt.Parker_Point.BS.1,F,1,180
Parker_Pt,Fished,Fished.Parker_Pt.Parker_Point.BS,Fished.Parker_Pt.Parker_Point.BS.2,F,1,181
Parker_Pt,Fished,Fished.Parker_Pt.Parker_Point.BS,Fished.Parker_Pt.Parker_Point.BS.3,F,1,182
Parker_Pt,Fished,Fished.Parker_Pt.Parker_Point.BS,Fished.Parker_Pt.Parker_Point.BS.4,F,41,183
Parker_Pt,Fished,Fished.Parker_Pt.Parker_Point.BS,Fished.Parker_Pt.Parker_Point.BS.5,F,0,184
